"","sampleid","masterid","sampledate","year","fieldreplicate","csci","latitude","longitude","county","COMID","geometry","Max_Wkly_Mean_StreamT","Max_Wkl_Max_StreamT","Min_Wkl_Min_StreamT","Max_Wkl_Rng_StreamT","Mean_Wkl_Rng_StreamT","Max_Wkl_Max_StreamT_grt_30_"
"85","SMC00748_06212011_BMI_RWB_1","SMC00748","2011-06-21 00:00:00",2011,1,0.2693672,34.07548,-118.0788,"Los Angeles",22515016,c(-118.0788, 34.07548),22.1305147495789,34.9221542267284,13.202858755235,20.7604902218489,16.8554877884845,147
"86","SMC00756_06232009_BMI_RWB_1","SMC00756","2009-06-23 00:00:00",2009,1,0.66448032,34.1501,-118.3907,"Los Angeles",22514962,c(-118.3907, 34.1501),24.343281527882,32.0134438837401,14.0650609925501,15.8637929269778,11.8672192525154,17
"87","SMC00827_06152009_BMI_RWB_1","SMC00827","2009-06-15 00:00:00",2009,1,1.0112656,34.55734,-119.18833,"Ventura",17567969,c(-119.18833, 34.55734),23.2918067969847,27.9986850298408,11.0208805662124,13.9201860025859,10.2421599747709,0
"88","SMC00830_06212011_BMI_RWB_1","SMC00830","2011-06-21 00:00:00",2011,1,0.38810571,33.94305,-118.16606,"Los Angeles",22518270,c(-118.16606, 33.94305),21.2754426552004,29.9266883644822,14.175832874755,15.388574160943,11.6295210815133,0
"89","SMC00911_06042009_BMI_RWB_1","SMC00911","2009-06-04 00:00:00",2009,1,1.00057003,34.50797,-119.29854,"Ventura",17585780,c(-119.29854, 34.50797),23.4090927915409,31.011979736719,11.6828152255483,16.8342871784821,13.0083924198833,29
"90","SMC00924_06092009_BMI_RWB_1","SMC00924","2009-06-09 00:00:00",2009,1,1.30449502,34.22394,-118.18053,"Los Angeles",22514774,c(-118.18053, 34.22394),24.1865180995549,31.0468341694349,12.5730553369671,15.1324167987345,12.1557475123434,16
"91","SMC00924_06122012_BMI_RWB_1","SMC00924","2012-06-12 00:00:00",2012,1,0.77980747,34.22394,-118.18053,"Los Angeles",22514774,c(-118.18053, 34.22394),23.9182107940961,30.4799416127328,11.5170700668652,17.1484557708809,12.5618018340234,18
"92","SMC00924_06202011_BMI_RWB_1","SMC00924","2011-06-20 00:00:00",2011,1,0.69286724,34.22394,-118.18053,"Los Angeles",22514774,c(-118.18053, 34.22394),23.0193450193802,29.92421976276,11.0495164317854,16.0123528949014,12.6863196677874,0
"93","SMC00924_06252014_BMI_RWB_1","SMC00924","2014-06-25 00:00:00",2014,1,1.11350521,34.22394,-118.18053,"Los Angeles",22514774,c(-118.18053, 34.22394),23.4600867617234,30.6052666205694,13.1761815987753,16.8322263367571,12.4804878999489,22
"94","SMC00924_07292010_BMI_RWB_1","SMC00924","2010-07-29 00:00:00",2010,1,0.65433094,34.22394,-118.18053,"Los Angeles",22514774,c(-118.18053, 34.22394),23.1967159206434,31.0403248604466,12.4736314921324,16.8244396380484,12.5735839387804,12
"95","SMC00926_06282010_BMI_RWB_1","SMC00926","2010-06-28 00:00:00",2010,1,0.47808988,33.90739,-117.88296,"Orange",22527363,c(-117.88296, 33.90739),21.5740875352221,35.1770848708524,13.7928476166151,20.4109386490607,16.6542288237648,135
"96","SMC00958_07192011_BMI_RWB_1","SMC00958","2011-07-19 00:00:00",2011,1,0.25106647,33.82532,-117.99894,"Orange",22525759,c(-117.99894, 33.82532),20.3294151631623,33.8044205576019,13.5795405558261,20.1171830820605,16.035161887814,124
"97","SMC01004_05262009_BMI_RWB_1","SMC01004","2009-05-26 00:00:00",2009,1,0.65606524,34.15016,-118.16579,"Los Angeles",22515822,c(-118.16579, 34.15016),24.0286883170309,34.1451665896478,14.0252185241784,17.7575891763018,14.0605328633024,74
"98","SMC01040_06092009_BMI_RWB_1","SMC01040","2009-06-09 00:00:00",2009,1,1.19274758,34.30553,-118.15792,"Los Angeles",22514424,c(-118.15792, 34.30553),24.1176111641112,28.6434161262375,11.7542358327838,13.9293560680355,10.4670742337661,0
"99","SMC01096_06072010_BMI_RWB_1","SMC01096","2010-06-07 00:00:00",2010,1,0.58321724,34.28465,-118.29343,"Los Angeles",22514542,c(-118.29343, 34.28465),23.3629939359896,29.808473988544,12.2377904336917,15.5561677794939,11.3628065542876,0
